Date,Price,Open,High,Low,Change %
"Mar 02, 2015",95.46,95.38,95.51,95.06,0.15%
"Mar 03, 2015",95.38,95.5,95.57,95.1,-0.08%
"Mar 04, 2015",95.97,95.39,96.06,95.32,0.62%
"Mar 05, 2015",96.38,95.95,96.59,95.84,0.43%
"Mar 06, 2015",97.61,96.35,97.73,96.3,1.28%
"Mar 09, 2015",97.59,97.8,97.78,97.29,-0.02%
"Mar 10, 2015",98.62,97.73,98.81,97.78,1.06%
"Mar 11, 2015",99.8,98.64,99.98,98.49,1.20%
"Mar 12, 2015",99.44,99.68,100.06,98.65,-0.36%
"Mar 13, 2015",100.33,99.21,100.39,99.2,0.90%
"Mar 16, 2015",99.6,100.32,100.27,99.32,-0.73%
"Mar 17, 2015",99.58,99.68,99.83,99.23,-0.02%
"Mar 18, 2015",98.55,99.63,99.8,96.63,-1.03%
"Mar 19, 2015",99.26,97.81,99.46,97.21,0.72%
"Mar 20, 2015",97.91,99.07,99.12,97.45,-1.36%
"Mar 23, 2015",97.03,97.65,98.24,96.83,-0.90%
"Mar 24, 2015",97.19,96.92,97.38,96.39,0.16%
"Mar 25, 2015",96.98,97.22,97.3,96.54,-0.22%
"Mar 26, 2015",97.44,96.9,97.55,96.17,0.47%
"Mar 27, 2015",97.29,97.38,97.92,96.99,-0.15%
"Mar 30, 2015",97.97,97.37,98.07,97.42,0.70%
"Mar 31, 2015",98.36,97.92,98.67,97.83,0.40%
"Apr 01, 2015",98.19,98.42,98.64,97.98,-0.17%
"Apr 02, 2015",97.44,98.18,98.28,97.33,-0.76%
"Apr 03, 2015",96.55,97.56,97.61,96.39,-0.91%
"Apr 06, 2015",96.78,96.59,97.24,96.33,0.24%
"Apr 07, 2015",97.83,97.05,98.02,96.93,1.08%
"Apr 08, 2015",97.94,97.86,98.2,97.25,0.11%
"Apr 09, 2015",99.16,98.04,99.18,98.04,1.25%
"Apr 10, 2015",99.34,98.97,99.69,98.84,0.18%
"Apr 13, 2015",99.49,99.47,99.99,99.23,0.15%
"Apr 14, 2015",98.73,99.46,99.7,98.37,-0.76%
"Apr 15, 2015",98.32,98.79,99.36,98.22,-0.42%
"Apr 16, 2015",97.42,98.39,98.72,97.28,-0.92%
"Apr 17, 2015",97.52,97.65,97.82,97,0.10%
"Apr 20, 2015",97.94,97.34,98.07,97.33,0.43%
"Apr 21, 2015",98,97.95,98.45,97.64,0.06%
"Apr 22, 2015",97.93,97.95,98.12,97.43,-0.07%
"Apr 23, 2015",97.28,98.05,98.42,97.14,-0.66%
"Apr 24, 2015",96.92,97.33,97.56,96.75,-0.37%
"Apr 27, 2015",96.77,96.95,97.28,96.47,-0.15%
"Apr 28, 2015",96.09,96.79,96.93,96.01,-0.70%
"Apr 29, 2015",95.21,96.12,96.18,94.68,-0.92%
"Apr 30, 2015",94.6,95.2,95.45,94.4,-0.64%
"May 01, 2015",95.3,94.83,95.4,94.5,0.74%
"May 04, 2015",95.48,95.25,95.64,95.04,0.19%
"May 05, 2015",95.08,95.44,95.95,94.88,-0.42%
"May 06, 2015",94.09,95.18,95.22,93.88,-1.04%
"May 07, 2015",94.64,94.11,94.83,93.89,0.58%
"May 08, 2015",94.79,94.64,95.06,94.32,0.16%
